🕘️更新时间,#genre#
2026-08-23 19:21:18,http://223.86.170.98:4500/rtp/239.11.0.118:5140

📡辽宁频道,#genre#
辽宁卫视,http://223.86.170.98:4500/rtp/239.11.0.118:5140
辽宁卫视,http://221.222.176.205:8889/rtp/239.3.1.210:8056
辽宁卫视,http://112.115.49.181:4915/udp/239.200.200.167:8736
辽宁卫视,http://125.109.24.55:21318/udp/233.50.201.141:5140
辽宁卫视,http://115.207.182.178:8889/udp/233.50.201.141:5140
辽宁卫视,http://60.30.67.45:8834/rtp/225.1.1.154:5002
辽宁卫视,http://60.30.67.44:8834/rtp/225.1.1.154:5002
辽宁卫视,http://221.225.239.69:8800/rtp/239.49.1.35:6000
辽宁卫视,http://175.0.71.111:8888/udp/239.76.245.197:1234
辽宁卫视,http://175.0.71.111:8888/udp/239.76.252.197:9000
东方财经,http://182.135.66.163:18888/rtp/239.94.2.236:5140
东方财经,http://182.135.66.163:1888/rtp/239.94.2.236:5140
华数精选,http://221.222.176.205:8889/rtp/239.3.1.74:4120
华数精选,http://221.222.176.205:8888/rtp/239.3.1.74:4120
欢笑剧场4K,http://58.37.164.52:4000/rtp/233.18.204.205:5140
欢笑剧场4K,http://58.37.164.52:4000/rtp/233.18.204.115:5140
欢笑剧场4K,http://182.135.66.163:18888/rtp/239.94.1.176:5140
欢笑剧场4K,http://182.135.66.163:1888/rtp/239.94.1.176:5140
欢笑剧场4K,http://101.81.76.108:4022/rtp/233.18.204.115:5140
欢笑剧场4K,http://101.81.76.108:4022/rtp/233.18.204.205:5140
欢笑剧场4K,http://221.225.239.69:8800/rtp/239.49.8.106:8000
欢笑剧场4K,http://106.111.244.12:58099/rtp/239.49.8.106:8000
中国天气,http://175.0.71.111:8888/udp/239.76.246.61:1234
中国天气,http://175.0.71.111:8888/udp/239.76.253.61:9000
中国天气,http://124.165.232.26:8082/rtp/226.0.2.103:8736
中国天气,http://124.165.232.26:8083/rtp/226.0.2.103:8736
中国天气,http://118.254.148.47:4022/udp/239.76.253.61:9000
中国天气,http://118.254.148.47:4022/udp/239.76.246.61:1234
财富天下,http://221.225.239.69:8800/rtp/239.49.1.29:6000
财富天下,http://182.135.66.163:1888/rtp/239.94.2.234:5140
财富天下,http://106.111.244.12:58099/rtp/239.49.1.29:6000
财富天下,http://182.135.66.163:18888/rtp/239.94.2.234:5140
武术世界,http://221.225.239.69:8800/rtp/239.49.0.205:8000
武术世界,http://106.111.244.12:58099/rtp/239.49.0.205:8000
武术世界,http://223.86.170.98:4500/rtp/239.11.0.146:5140
武术世界,http://183.220.107.138:4022/rtp/239.11.0.146:5140
梨园频道,http://182.135.66.163:1888/rtp/239.94.2.227:5140
梨园频道,http://182.135.66.163:18888/rtp/239.94.2.227:5140
生活时尚,http://182.135.66.163:18888/rtp/239.94.2.233:5140
生活时尚,http://182.135.66.163:1888/rtp/239.94.2.233:5140
游戏风云,http://58.37.164.52:4000/rtp/233.18.204.44:5140
游戏风云,http://182.135.66.163:18888/rtp/239.94.1.46:5140
游戏风云,http://101.81.76.108:4022/rtp/233.18.204.44:5140
游戏风云,http://182.135.66.163:1888/rtp/239.94.1.46:5140
游戏风云,http://182.135.66.163:18888/rtp/239.94.2.235:5140
游戏风云,http://182.135.66.163:1888/rtp/239.94.2.235:5140
新动漫,http://112.115.49.181:4915/rtp/239.200.201.32:4120
新动漫,http://60.30.67.44:8834/rtp/225.1.1.216:5002
新动漫,http://60.30.67.45:8834/rtp/225.1.1.216:5002
快乐垂钓,http://112.115.49.181:4915/rtp/239.200.200.103:8400
快乐垂钓,http://175.0.71.111:8888/udp/239.76.246.5:1234
快乐垂钓,http://175.0.71.111:8888/udp/239.76.253.5:9000
快乐垂钓,http://118.254.148.47:4022/udp/239.76.246.5:1234
快乐垂钓,http://118.254.148.47:4022/udp/239.76.253.5:9000
IPTV足球,http://221.222.176.205:8888/rtp/239.3.1.89:4120
